Date;Hours;Consumption;Wind;Price
1.1.2013;00 - 01;1830;1968;104,66
1.1.2013;01 - 02;1764;1599;82,5
1.1.2013;02 - 03;1700;1238;63,41
1.1.2013;03 - 04;1654;941;0,75
1.1.2013;04 - 05;1616;709;14,99
1.1.2013;05 - 06;1605;520;170,15
1.1.2013;06 - 07;1661;401;208,34
1.1.2013;07 - 08;1735;347;208,94
1.1.2013;08 - 09;1802;332;207,37
1.1.2013;09 - 10;1867;346;204,02
1.1.2013;10 - 11;1987;384;210,51
1.1.2013;11 - 12;2076;441;225,8
1.1.2013;12 - 13;2117;501;225,8
1.1.2013;13 - 14;2123;556;231,39
1.1.2013;14 - 15;2150;621;241,39
1.1.2013;15 - 16;2212;678;250,94
1.1.2013;16 - 17;2429;714;256,83
1.1.2013;17 - 18;2647;772;270,33
1.1.2013;18 - 19;2602;865;276,9
1.1.2013;19 - 20;2442;954;271,08
1.1.2013;20 - 21;2268;1018;270,78
1.1.2013;21 - 22;2120;1008;250,56
1.1.2013;22 - 23;1953;977;258,47
2.1.2013;23 - 00;1777;981;189,02
2.1.2013;00 - 01;1654;908;176,12
2.1.2013;01 - 02;1600;851;111,3
2.1.2013;02 - 03;1589;864;122,71
2.1.2013;03 - 04;1600;889;88,1
2.1.2013;04 - 05;1651;912;89,44
2.1.2013;05 - 06;1811;993;221,32
2.1.2013;06 - 07;2197;1057;231,47
2.1.2013;07 - 08;2693;1092;331,05
2.1.2013;08 - 09;2957;1167;294,05
2.1.2013;09 - 10;3002;1265;287,49
2.1.2013;10 - 11;3052;1380;288,53
2.1.2013;11 - 12;3059;1477;287,12
2.1.2013;12 - 13;3025;1524;283,98
2.1.2013;13 - 14;3042;1534;283,09
2.1.2013;14 - 15;3031;1516;282,79
2.1.2013;15 - 16;2988;1458;289,8
2.1.2013;16 - 17;3120;1370;297,78
2.1.2013;17 - 18;3339;1292;302,26
2.1.2013;18 - 19;3192;1246;295,55
2.1.2013;19 - 20;2977;1213;289,06
2.1.2013;20 - 21;2757;1205;279,43
2.1.2013;21 - 22;2583;1227;275,55
2.1.2013;22 - 23;2376;1301;274,29
3.1.2013;23 - 00;2064;1441;255,19
3.1.2013;00 - 01;1889;1653;187,01
3.1.2013;01 - 02;1819;1768;149,71
3.1.2013;02 - 03;1786;1924;108,46
3.1.2013;03 - 04;1784;2103;104,36
3.1.2013;04 - 05;1836;2214;103,84
3.1.2013;05 - 06;1979;2293;134,2
3.1.2013;06 - 07;2368;2409;209,76
3.1.2013;07 - 08;2826;2496;267,27
3.1.2013;08 - 09;3035;2555;271,45
3.1.2013;09 - 10;3025;2660;272,42
3.1.2013;10 - 11;3020;2795;273,84
3.1.2013;11 - 12;2983;2872;273,02
3.1.2013;12 - 13;2898;2882;272,35
3.1.2013;13 - 14;2936;2873;271,53
3.1.2013;14 - 15;2919;2874;271,6
3.1.2013;15 - 16;2878;2862;272,2
3.1.2013;16 - 17;2973;2820;273,17
3.1.2013;17 - 18;3224;2723;274,06
3.1.2013;18 - 19;3073;2607;274,14
3.1.2013;19 - 20;2854;2475;271,6
3.1.2013;20 - 21;2660;2366;267,72
3.1.2013;21 - 22;2413;2272;264,29
3.1.2013;22 - 23;2191;2203;259,22
4.1.2013;23 - 00;2023;2141;209,69
4.1.2013;00 - 01;2005;2131;100,99
4.1.2013;01 - 02;1941;2021;88,84
4.1.2013;02 - 03;1915;1963;70,86
4.1.2013;03 - 04;1916;1905;82,35
4.1.2013;04 - 05;1961;1787;80,18
4.1.2013;05 - 06;2130;1621;133,81
4.1.2013;06 - 07;2525;1497;254,13
4.1.2013;07 - 08;2974;1464;275,46
4.1.2013;08 - 09;3151;1550;275,61
4.1.2013;09 - 10;3092;1719;273,6
4.1.2013;10 - 11;3105;1922;274,49
4.1.2013;11 - 12;3057;2126;273,3
4.1.2013;12 - 13;2929;2260;271,96
4.1.2013;13 - 14;2905;2325;270,91
4.1.2013;14 - 15;2844;2365;267,33
4.1.2013;15 - 16;2797;2360;269,12
4.1.2013;16 - 17;2950;2306;274,42
4.1.2013;17 - 18;3118;2242;279,19
4.1.2013;18 - 19;2993;2178;277,1
4.1.2013;19 - 20;2780;2096;272,03
4.1.2013;20 - 21;2594;1989;268,75
4.1.2013;21 - 22;2440;1843;264,27
4.1.2013;22 - 23;2268;1687;268,75
5.1.2013;23 - 00;2092;1528;238,76
5.1.2013;00 - 01;1931;1291;230,15
5.1.2013;01 - 02;1850;1010;241,42
5.1.2013;02 - 03;1801;767;184,96
5.1.2013;03 - 04;1774;575;230,83
5.1.2013;04 - 05;1762;445;244,4
5.1.2013;05 - 06;1804;343;251,71
5.1.2013;06 - 07;1931;268;253,72
5.1.2013;07 - 08;2147;222;253,05
5.1.2013;08 - 09;2355;204;243,06
5.1.2013;09 - 10;2437;201;283,4
5.1.2013;10 - 11;2469;198;273,78
5.1.2013;11 - 12;2442;193;274,08
5.1.2013;12 - 13;2375;186;272,44
5.1.2013;13 - 14;2327;189;269,46
5.1.2013;14 - 15;2339;198;269,61
5.1.2013;15 - 16;2382;211;274,38
5.1.2013;16 - 17;2573;235;284,3
5.1.2013;17 - 18;2732;277;347,47
5.1.2013;18 - 19;2630;332;302,79
5.1.2013;19 - 20;2438;394;275,65
5.1.2013;20 - 21;2260;469;270,35
5.1.2013;21 - 22;2139;535;267,59
5.1.2013;22 - 23;2004;570;266,25
6.1.2013;23 - 00;1857;621;264,31
6.1.2013;00 - 01;1779;429;244,49
6.1.2013;01 - 02;1695;477;238,82
